LastName, FirstName, Course
Ramezani, Cyrus A. , Finance
Ramrakhiani, Sonia H. , School of Education
Rastad, Mahdi  , Finance
Razi, Alpen  , Ethnic Studies
Reaves, Scott  , Food Science and Nutrition
Rees, Gordon L. , Natural Resources Management and Environmental Sciences
Reich, Jonathan  , Architecture
Rein, Steven  , Statistics
Retsek, Dylan Q. , Mathematics
Ribeiro, Bruno  , Graphic Communications
Rice, Margaret , S. (1996
Richert, Benjamin P. , Mathematics
Ridgely, John R. , Mechanical Engineering
Riley, Kate J. , Mathematics
Rinzler, Paul  , Music
Rios, Laura  , Physics
Ritter, Matthew K. , Biological Sciences
Robbins, Marian E. , Mathematics
Roberts, Joni  , Kinesiology
Rodgers, Julie Spencer , Psychology and Child Development
Ronan, Briana M. , School of Education
Rong, Xiaoying  , Graphic Communication
Rosenthal, Mira  , English
Ross, Kevin James , Statistics
Rossman, Allan J. , Statistics
Roy, Soma  , Statistics
Rucas, Stacey L. , Social Sciences
Rudi Polloshka, Jeta  , Agribusiness
Ruef, Michael  , School of Education
Rummell, Kathryn  , College of Liberal Arts
Russell, Craig H. , Music
Ruszczycky, Steven  , English
Ruttenberg, Benjamin I. , Biological Sciences
Ryalls, Emily D. , Interdisciplinary Studies in the Liberal Arts
Ryan, Kathleen A. , Psychology and Child Development
Ryujin, Donald H. , Psychology and Child Development
Sabbag, Anelise G. , Statistics
Sadek, Mohammad  , BioResource and Agricultural Engineering
Sagarwala, Ahmed  , Graphic Communication
Saghri, John A. , Electrical Engineering
Saha, Koushik  , Industrial Technology and Packaging
Saliklis, Edmond P. , Architectural Engineering
Sanchez, Fernando Fabio , World Languages and Cultures
Sapper, Erik D. , Chemistry and Biochemistry
Sattler, Meredith J. , Architecture
Saunders, Karl F. , Physics
Schaeffer, Robert K. , Social Sciences
Schaffner, Andrew  , Statistics
Schinck-Mikel, Amelie  , Mathematics
Schroeter, Christiane  , Agribusiness
Schuster, Peter J. , Mechanical Engineering
Schwab, Keri  , Experience Industry Management
Schwartz, Debora  , English
Schwartz, Peter V. , Physics
Schwartz, Gregory  , BioResource and Agricultural Engineering
Scott, Gregory E. , Chemistry and Biochemistry
Scriven, Tal E. , Philosophy
Self, Brian P. , Mechanical Engineering
Seng, John S. , Computer Engineering, Computer Science
Serrano-Careaga, Jesus  , Psychology and Child Development
Settle, Allen K. , Political Science
Shaban, Ali O. , Electrical Engineering
Shafran, Aric  , Economics
Shan, Yan  , Journalism
Shani, Abraham , B. (1983
Shapiro, Jonathan  , Mathematics
Sharpe, John P. , Physics
Sherman, Morgan P. , Mathematics
Shields, Jennifer  , Architecture
Shin, Joongmin  , Industrial Technology and Packaging
Shollenberger, Kim A. , Mechanical Engineering
Sikalidis, Angelos  , Food Science and Nutrition
Silvestri, Michael G. , Chemistry and Biochemistry
Simonian, Lonny G. , Construction Management
Singh, Jagjit ,  (2003
Sistla, Seeta  , Natural Resources Management and Environmental Sciences
Sklar, Jeffrey C. , Statistics
Slivovsky, Lynne A. , Computer Engineering, Electrical Engineering
Smilkstein, Tina  , Electrical Engineering, Computer Engineering
Smith, Hugh M. , Computer Engineering, Computer Science
Smith, Taylor F. , Psychology and Child Development
Somoza-Norton, Andrea Fabiana , School of Education
Sparks, Jacob  , Philosophy
Spiller, Robert  , Animal Science
Spiller, W. Terrence , Music
Sprayberry, Kim A. , Animal Science
Staley, Clinton A. , Computer Science
Stanchev, Lubomir  , Computer Science
Stanko, Taryn  , Management, HR, and Information Systems
Stankus, Mark  , Mathematics
Stannard, Sandra  , Architecture
Stanton, Diana L. , Theatre and Dance
Starzyk, Gregory F. , Construction Management
Stegner, Paul Dustin  , English
Steinmaus, Scott J. , Horticulture and Crop Science
Strand, Christy  , Biological Sciences
Styles, Stuart W. , BioResource and Agricultural Engineering
Sun, Dennis L. , Statistics
Sungar, Nilgun  , Physics
Surfleet, Christopher Graham , Natural Resources Management and Environmental Sciences
Swan, Benjamin G. , Agricultural Education and Communication
Sweatt, Lisa I. , Psychology and Child Development
Sze, Lawrence  , Mathematics
Szlavik, Robert  , Biomedical Engineering
Talke, Stefan A. , Civil and Environmental Engineering
Tanvir, Shams  , Civil and Environmental Engineering
Taufik,   , Electrical Engineering
Taylor, Emily N. , Biological Sciences
Taylor, J. Kevin  , School of Education
Tejani, James  , History
Telesetsky, Anastasia  , Natural Resources Management and Environmental Sciences
Teramoto Pedrotti, Jennifer  , College of Liberal Arts, Psychology and Child Development
Teufel, Brady  , Journalism
Thatcher, Tracy  , Civil and Environmental Engineering
Theobold, Allison  , Statistics
Theodoropoulos, Christine Olympia , College of Architecture and Environmental Design
Thomas, Jafra  , Kinesiology
Thompson, John Jay , World Languages and Cultures
